Line list produced by pgo v8.0.305 32 bit (Delphi 18.5/18)	8000305
Molecule	Upper Manifold	J'	Sym'	#'	Lower Manifold	J"	Sym"	#"	Position	Intensity	Eupper	Elower	Spol	A	Width	Branch	Label
Mola	Ground	1	A	1	Ground	0	A	1	3800	1.70105271358887E-5	3800	0	0.333333333333333	2.12897050625279E-10	0	qR0,0(0)	Mola v=0  1  0  1 - v=0  0  0  0
Mola	Ground	1	A	3	Ground	1	A	2	200	1.29023767096916E-6	7000	6800	0.5	4.65586201979761E-14	0	qQ1,1(1)	Mola v=0  1  1  0 - v=0  1  1  1
Mola	Ground	2	A	1	Ground	1	A	1	7590.33012149599	6.48862427822812E-5	11390.330121496	3800	0.666147590307096	2.0344349865523E-9	0	qR0,1(1)	Mola v=0  2  0  2 - v=0  1  0  1
Mola	Ground	2	A	5	Ground	1	A	1	20009.669878504	1.26945766927236E-7	23809.669878504	3800	0.000519076359570722	2.90430606219974E-11	0	sR0,1(1)	Mola v=0  2  2  0 - v=0  1  0  1
Mola	Ground	2	A	2	Ground	1	A	2	7400	4.63905031482793E-5	14200	6800	0.5	1.41500027333285E-9	0	qR1,1(1)	Mola v=0  2  1  2 - v=0  1  1  1
Mola	Ground	2	A	3	Ground	1	A	3	7800	4.87426886554716E-5	14800	7000	0.5	1.65708647491425E-9	0	qR1,0(1)	Mola v=0  2  1  1 - v=0  1  1  0
Mola	Ground	2	A	4	Ground	2	A	1	12409.669878504	1.27214093423495E-7	23800	11390.330121496	0.000865127265951204	1.15465448199957E-11	0	sQ0,2(2)	Mola v=0  2  2  1 - v=0  2  0  2
Mola	Ground	2	A	3	Ground	2	A	2	600	2.02356843231194E-6	14800	14200	0.277777777777778	4.19027581781785E-13	0	qQ1,2(2)	Mola v=0  2  1  1 - v=0  2  1  2
Mola	Ground	2	A	5	Ground	2	A	4	9.66987850400983	1.21000104716E-7	23809.669878504	23800	1.11024598384516	7.01089759326476E-18	0	qQ2,1(2)	Mola v=0  2  2  0 - v=0  2  2  1
Mola	Ground	3	A	1	Ground	2	A	1	11361.4701377787	0.00013490514010354	22751.8002592747	11390.330121496	0.997946335718912	7.30086144239998E-9	0	qR0,2(2)	Mola v=0  3  0  3 - v=0  2  0  2
Mola	Ground	3	A	5	Ground	2	A	1	23857.8696192293	4.61649420180019E-7	35248.1997407253	11390.330121496	0.00170761337470759	1.15677223184473E-10	0	sR0,2(2)	Mola v=0  3  2  1 - v=0  2  0  2
Mola	Ground	3	A	2	Ground	2	A	2	11094.0958605851	0.000114821298475655	25294.0958605851	14200	0.888682365847839	6.05320844866301E-9	0	qR1,2(2)	Mola v=0  3  1  3 - v=0  2  1  2
Mola	Ground	3	A	6	Ground	2	A	2	36505.9041394149	7.95750755405765E-8	50705.9041394149	14200	0.000206523041050311	5.01211657009359E-11	0	sR1,2(2)	Mola v=0  3  3  1 - v=0  2  1  2
Mola	Ground	3	A	3	Ground	2	A	3	11693.8032396628	0.000120161674779017	26493.8032396628	14800	0.888661392528143	7.08870631208505E-9	0	qR1,1(2)	Mola v=0  3  1  2 - v=0  2  1  1
Mola	Ground	3	A	7	Ground	2	A	3	35906.1967603372	8.59996021118345E-8	50706.1967603372	14800	0.000227496360745204	5.25346686580063E-11	0	sR1,1(2)	Mola v=0  3  3  0 - v=0  2  1  1
Mola	Ground	3	A	4	Ground	2	A	4	11400	6.82251350866864E-5	35200	23800	0.555555555555555	4.10587169063037E-9	0	qR2,1(2)	Mola v=0  3  2  2 - v=0  2  2  1
Mola	Ground	3	A	5	Ground	2	A	5	11438.5298622213	6.84408611801115E-5	35248.1997407253	23809.669878504	0.555562204518638	4.14769342354127E-9	0	qR2,0(2)	Mola v=0  3  2  1 - v=0  2  2  0
Mola	Ground	2	A	5	Ground	3	A	1	1057.86961922933	4.0636276363617E-9	23809.669878504	22751.8002592747	0.000339401943297805	2.80609338181401E-15	0	sP0,3(3)	Mola v=0  2  2  0 - v=0  3  0  3
Mola	Ground	3	A	4	Ground	3	A	1	12448.1997407253	4.04001984096234E-7	35200	22751.8002592747	0.00299995909113297	2.88667773101463E-11	0	sQ0,3(3)	Mola v=0  3  2  2 - v=0  3  0  3
Mola	Ground	3	A	3	Ground	3	A	2	1199.70737907763	2.58811834501133E-6	26493.8032396628	25294.0958605851	0.194634041350524	1.67651759299226E-12	0	qQ1,3(3)	Mola v=0  3  1  2 - v=0  3  1  3
Mola	Ground	3	A	7	Ground	3	A	2	25412.1008997521	4.40039235348831E-8	50706.1967603372	25294.0958605851	0.000171818415758905	1.40654861695865E-11	0	sQ1,3(3)	Mola v=0  3  3  0 - v=0  3  1  3
Mola	Ground	3	A	6	Ground	3	A	3	24212.1008997521	5.06305608509406E-8	50705.9041394149	26493.8032396628	0.000208521725224968	1.47642727386399E-11	0	sQ1,2(3)	Mola v=0  3  3  1 - v=0  3  1  2
Mola	Ground	3	A	5	Ground	3	A	4	48.199740725322	3.84148432466378E-7	35248.1997407253	35200	0.774777818686645	4.3278740113343E-16	0	qQ2,2(3)	Mola v=0  3  2  1 - v=0  3  2  2
Mola	Ground	3	A	7	Ground	3	A	6	0.292620922373317	4.6526224905009E-9	50706.1967603372	50705.9041394149	1.74943006295294	2.18663368779761E-22	0	qQ3,1(3)	Mola v=0  3  3  0 - v=0  3  3  1
Mola	Ground	4	A	1	Ground	3	A	1	15104.6354347021	0.000214808843778017	37856.4356939768	22751.8002592747	1.32834090131988	1.77606617510932E-8	0	qR0,3(3)	Mola v=0  4  0  4 - v=0  3  0  3
Mola	Ground	4	A	5	Ground	3	A	1	27784.2313429551	1.04955602193382E-6	50536.0316022298	22751.8002592747	0.00370654134772397	3.08448642766132E-10	0	sR0,3(3)	Mola v=0  4  2  2 - v=0  3  0  3
Mola	Ground	4	A	9	Ground	3	A	1	64855.7324445187	1.11523974899402E-10	87607.5327037934	22751.8002592747	1.93912388423653E-7	2.05243549067047E-13	0	uR0,3(3)	Mola v=0  4  4  0 - v=0  3  0  3
Mola	Ground	4	A	2	Ground	3	A	2	14781.5086022921	0.000193975436475378	40075.6044628772	25294.0958605851	1.24932950723615	1.56549661883614E-8	0	qR1,3(3)	Mola v=0  4  1  4 - v=0  3  1  3
Mola	Ground	4	A	6	Ground	3	A	2	40630.2996765377	1.99193004966026E-7	65924.3955371228	25294.0958605851	0.000515600483058513	1.34178288313997E-10	0	sR1,3(3)	Mola v=0  4  3  2 - v=0  3  1  3
Mola	Ground	4	A	3	Ground	3	A	3	15579.7555476368	0.000201845469090736	42073.5587872995	26493.8032396628	1.24920399826348	1.83288044658759E-8	0	qR1,2(3)	Mola v=0  4  1  3 - v=0  3  1  2
Mola	Ground	4	A	7	Ground	3	A	3	39432.6379730377	2.33298547804946E-7	65926.4412127005	26493.8032396628	0.000625379465959135	1.48775002801903E-10	0	sR1,2(3)	Mola v=0  4  3  1 - v=0  3  1  2
Mola	Ground	4	A	4	Ground	3	A	4	15192.4746406192	0.000147156994710151	50392.4746406192	35200	0.999797787206104	1.36024327240684E-8	0	qR2,2(3)	Mola v=0  4  2  3 - v=0  3  2  2
Mola	Ground	4	A	8	Ground	3	A	4	52407.5253593808	8.90659123756287E-8	87607.5253593808	35200	0.000202212793895716	1.12929770171945E-10	0	sR2,2(3)	Mola v=0  4  4  1 - v=0  3  2  2
Mola	Ground	4	A	1	Ground	3	A	5	2608.2359532515	3.23115957343479E-8	37856.4356939768	35248.1997407253	0.00121713974827546	8.37914936312302E-14	0	oR2,1(3)	Mola v=0  4  0  4 - v=0  3  2  1
Mola	Ground	4	A	5	Ground	3	A	5	15287.8318615045	0.000147978354774941	50536.0316022298	35248.1997407253	0.999865945746735	1.38611200540007E-8	0	qR2,1(3)	Mola v=0  4  2  2 - v=0  3  2  1
Mola	Ground	4	A	9	Ground	3	A	5	52359.3329630681	8.91409704251851E-8	87607.5327037934	35248.1997407253	0.000202611258332155	1.12840433111884E-10	0	sR2,1(3)	Mola v=0  4  4  0 - v=0  3  2  1
